pid,tests,found,agree,no_majority,no_variant_output,put_fail,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,category,report,detail_csv
p02702,106,0,103,3,0,0,0,0,0,0,,all_agree,/data/bc/MyCatcher/outputs/tcases/cpp/p02702/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02702/detail.csv
p02703,68,0,0,60,8,0,0,0,51,12,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02703/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02703/detail.csv
p02709,139,0,0,139,0,0,0,0,110,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02709/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02709/detail.csv
p02715,57,0,10,47,0,0,0,0,39,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02715/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02715/detail.csv
p02716,109,30,52,27,0,0,3,27,49,0,0.1,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02716/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02716/detail.csv
p02718,130,1,115,14,0,0,0,1,1,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02718/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02718/detail.csv
p02726,79,0,0,79,0,0,0,0,0,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02726/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02726/detail.csv
p02728,104,0,0,104,0,0,0,0,104,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02728/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02728/detail.csv
p02730,125,13,111,0,0,1,5,8,8,0,0.38461538461538464,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02730/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02730/detail.csv
p02732,88,83,5,0,0,0,0,83,83,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02732/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02732/detail.csv
p02733,123,0,0,123,0,0,0,0,119,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02733/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02733/detail.csv
p02737,148,0,0,148,0,0,0,0,132,15,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02737/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02737/detail.csv
p02756,169,39,128,2,0,0,39,0,2,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02756/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02756/detail.csv
p02757,132,3,114,15,0,0,0,3,16,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02757/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02757/detail.csv
p02758,123,8,0,115,0,0,0,8,123,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02758/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02758/detail.csv
p02760,136,0,84,52,0,0,0,0,0,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02760/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02760/detail.csv
p02761,104,4,76,22,0,2,4,0,4,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02761/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02761/detail.csv
p02766,112,6,103,2,0,1,6,0,2,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02766/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02766/detail.csv
p02767,123,64,59,0,0,0,62,2,2,0,0.96875,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02767/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02767/detail.csv
p02775,74,0,0,74,0,0,0,0,64,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02775/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02775/detail.csv
p02777,164,16,148,0,0,0,5,11,11,0,0.3125,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02777/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02777/detail.csv
p02781,89,0,52,36,1,0,0,0,33,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02781/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02781/detail.csv
p02787,145,5,75,65,0,0,1,4,40,0,0.2,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02787/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02787/detail.csv
p02794,133,0,0,133,0,0,0,0,127,2,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02794/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02794/detail.csv
p02802,134,3,88,43,0,0,3,0,4,1,1.0,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02802/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02802/detail.csv
p02812,134,9,125,0,0,0,9,0,0,2,1.0,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02812/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02812/detail.csv
p02830,122,17,104,0,0,1,17,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02830/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02830/detail.csv
p02832,118,51,0,67,0,0,23,28,95,0,0.45098039215686275,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02832/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02832/detail.csv
p02838,140,3,137,0,0,0,2,1,1,0,0.6666666666666666,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02838/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02838/detail.csv
p02840,150,3,21,126,0,0,0,3,108,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02840/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02840/detail.csv
p02860,87,2,85,0,0,0,2,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02860/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02860/detail.csv
p02864,125,40,23,62,0,0,9,31,79,0,0.225,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02864/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02864/detail.csv
p02891,145,8,56,81,0,0,0,8,45,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02891/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02891/detail.csv
p02895,129,0,20,109,0,0,0,0,51,4,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02895/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02895/detail.csv
p02900,97,5,53,39,0,0,5,0,34,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02900/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02900/detail.csv
p02905,126,2,117,4,0,3,1,1,1,3,0.5,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02905/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02905/detail.csv
p02906,128,12,36,80,0,0,0,12,39,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02906/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02906/detail.csv
p02907,132,0,0,132,0,0,0,0,131,1,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02907/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02907/detail.csv
p02913,83,5,53,25,0,0,0,5,20,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02913/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02913/detail.csv
p02917,117,117,0,0,0,0,117,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02917/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02917/detail.csv
p02937,128,0,0,128,0,0,0,0,0,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02937/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02937/detail.csv
p02938,91,5,3,83,0,0,5,0,32,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02938/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02938/detail.csv
p02943,134,17,26,91,0,0,0,17,97,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02943/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02943/detail.csv
p02956,133,0,0,133,0,0,0,0,132,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02956/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02956/detail.csv
p02958,123,12,111,0,0,0,12,0,1,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02958/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02958/detail.csv
p02962,138,0,13,125,0,0,0,0,60,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02962/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02962/detail.csv
p02964,91,1,13,76,1,0,0,0,58,0,,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02964/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02964/detail.csv
p02969,31,0,31,0,0,0,0,0,0,0,,all_agree,/data/bc/MyCatcher/outputs/tcases/cpp/p02969/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02969/detail.csv
p02971,124,47,24,53,0,0,47,0,25,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02971/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02971/detail.csv
p02974,105,10,11,84,0,0,8,2,84,0,0.8,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02974/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02974/detail.csv
p02983,127,20,93,3,11,0,1,19,24,0,0.05,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02983/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02983/detail.csv
p02990,75,0,1,74,0,0,0,0,64,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02990/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02990/detail.csv
p02992,99,0,11,43,45,0,0,0,38,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02992/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02992/detail.csv
p02996,170,1,169,0,0,0,1,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02996/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02996/detail.csv
p02998,112,0,30,82,0,0,0,0,64,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02998/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02998/detail.csv
p03000,133,66,67,0,0,0,66,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03000/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03000/detail.csv
p03013,87,0,0,87,0,0,0,0,4,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03013/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03013/detail.csv
p03014,146,7,137,2,0,0,7,0,2,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03014/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03014/detail.csv
p03017,167,17,121,29,0,0,8,9,32,1,0.47058823529411764,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03017/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03017/detail.csv
p03019,128,14,0,114,0,0,0,14,128,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p03019/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03019/detail.csv
p03031,128,2,126,0,0,0,2,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03031/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03031/detail.csv
p03032,136,7,67,62,0,0,7,0,5,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03032/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03032/detail.csv
p03039,86,0,0,86,0,0,0,0,85,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03039/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03039/detail.csv
p03042,82,3,79,0,0,0,3,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03042/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03042/detail.csv
p03045,156,0,7,149,0,0,0,0,88,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p03045/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03045/detail.csv
p03053,131,13,116,2,0,0,13,0,2,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p03053/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p03053/detail.csv
