pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p03558,55,0,0,0,55,0,0,0,0,55,0,0,0,0,0,48,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03558/report.txt
p03561,64,0,2,0,62,0,0,0,0,64,0,0,0,0,0,58,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03561/report.txt
p03562,162,0,0,0,162,0,0,0,0,162,0,0,0,0,0,156,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03562/report.txt
p03565,143,3,96,3,44,0,0,3,0,140,0,0,0,3,0,4,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03565/report.txt
p03573,126,15,111,15,0,0,0,12,3,111,0,0,0,12,3,3,0,0.8,/data/bc/MyCatcher/outputs/tcases/cpp/p03573/report.txt
p03574,119,6,99,6,14,0,0,0,0,4,0,0,0,6,0,14,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03574/report.txt
p03575,110,7,98,7,5,0,0,0,7,103,0,0,0,0,7,11,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03575/report.txt
p03604,106,0,0,0,106,0,0,0,0,106,0,0,0,0,0,49,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03604/report.txt
p03608,133,56,65,56,11,1,0,44,10,71,8,0,0,44,10,15,8,0.814815,/data/bc/MyCatcher/outputs/tcases/cpp/p03608/report.txt
p03613,126,0,5,0,121,0,0,0,0,123,3,0,0,0,0,52,3,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03613/report.txt
p03616,136,10,12,10,114,0,0,3,2,16,0,0,0,4,5,114,0,0.444444,/data/bc/MyCatcher/outputs/tcases/cpp/p03616/report.txt
p03620,108,65,25,65,18,0,0,0,65,43,0,0,0,0,65,83,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03620/report.txt
p03625,134,1,113,1,20,0,0,1,0,133,0,0,0,1,0,3,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03625/report.txt
p03629,106,0,8,0,98,0,0,0,0,101,0,5,0,0,0,5,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03629/report.txt
p03630,120,46,0,46,74,0,0,0,46,74,0,0,0,0,46,118,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03630/report.txt
p03642,116,5,1,5,110,0,0,0,4,110,2,0,0,0,4,92,2,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03642/report.txt
p03647,120,9,92,9,19,0,0,9,0,107,4,0,0,9,0,19,4,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03647/report.txt
p03652,117,62,24,62,31,0,0,0,62,55,0,0,0,0,62,93,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03652/report.txt
p03664,143,25,2,25,116,0,0,0,25,117,1,0,0,0,25,138,1,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03664/report.txt
p03665,117,5,99,5,13,0,0,4,1,112,0,0,0,4,1,11,0,0.8,/data/bc/MyCatcher/outputs/tcases/cpp/p03665/report.txt
p03679,141,35,106,35,0,0,0,0,0,126,0,0,0,15,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03679/report.txt
p03684,138,16,67,16,55,0,0,0,16,122,0,0,0,0,16,35,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03684/report.txt
p03695,133,120,0,120,13,0,0,120,0,13,0,0,0,120,0,13,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03695/report.txt
p03703,131,2,129,2,0,0,0,2,0,129,0,0,0,2,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03703/report.txt
p03705,106,18,85,18,3,0,0,18,0,88,0,0,0,18,0,3,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03705/report.txt
p03713,77,0,46,0,31,0,0,0,0,77,0,0,0,0,0,19,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03713/report.txt
p03718,130,29,0,29,101,0,0,0,29,101,0,0,0,0,29,126,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03718/report.txt
p03719,100,4,96,4,0,0,0,4,0,96,0,0,0,4,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03719/report.txt
p03722,149,5,135,5,9,0,0,4,1,144,0,0,0,4,1,10,0,0.8,/data/bc/MyCatcher/outputs/tcases/cpp/p03722/report.txt
p03723,106,2,104,2,0,0,0,2,0,104,0,0,0,2,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03723/report.txt
p03725,120,1,81,1,38,0,0,0,1,119,0,0,0,0,1,90,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03725/report.txt
p03730,89,4,57,4,28,0,0,4,0,85,0,0,0,4,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03730/report.txt
p03734,122,21,77,21,11,7,6,21,0,88,0,7,6,21,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03734/report.txt
p03750,144,1,0,1,143,0,0,0,1,17,11,0,0,0,1,86,52,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03750/report.txt
p03765,152,62,84,62,6,0,0,5,33,72,0,0,0,7,55,65,0,0.112903,/data/bc/MyCatcher/outputs/tcases/cpp/p03765/report.txt
p03768,148,0,57,0,91,0,0,0,0,8,0,0,0,0,0,17,3,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03768/report.txt
p03770,144,0,0,0,144,0,0,0,0,144,0,0,0,0,0,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03770/report.txt
p03771,156,0,17,0,139,0,0,0,0,0,0,0,0,0,0,35,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03771/report.txt
p03774,132,4,128,4,0,0,0,0,0,15,0,0,0,3,1,14,0,0.75,/data/bc/MyCatcher/outputs/tcases/cpp/p03774/report.txt
p03775,62,0,0,0,62,0,0,0,0,62,0,0,0,0,0,18,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03775/report.txt
p03778,135,19,116,19,0,0,0,19,0,116,0,0,0,19,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03778/report.txt
p03788,134,4,6,4,124,0,0,1,3,130,0,0,0,1,3,115,0,0.25,/data/bc/MyCatcher/outputs/tcases/cpp/p03788/report.txt
p03799,114,48,66,48,0,0,0,15,33,66,0,0,0,15,33,33,0,0.3125,/data/bc/MyCatcher/outputs/tcases/cpp/p03799/report.txt
p03802,134,115,19,115,0,0,0,0,115,19,0,0,0,0,115,115,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03802/report.txt
p03803,95,11,84,11,0,0,0,11,0,84,0,0,0,11,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03803/report.txt
p03804,149,8,141,8,0,0,0,8,0,131,10,0,0,8,0,0,10,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03804/report.txt
p03806,164,11,97,11,56,0,0,0,11,153,0,0,0,0,11,11,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03806/report.txt
p03816,129,0,0,0,129,0,0,0,0,129,0,0,0,0,0,95,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03816/report.txt
p03824,93,11,1,11,81,0,0,0,11,82,0,0,0,0,11,69,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03824/report.txt
p03825,108,0,2,0,106,0,0,0,0,108,0,0,0,0,0,37,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03825/report.txt
p03828,22,0,12,0,10,0,0,0,0,22,0,0,0,0,0,10,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03828/report.txt
p03843,129,12,0,12,116,1,0,0,12,116,1,0,0,0,12,128,1,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03843/report.txt
p03845,140,0,140,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03845/report.txt
p03846,133,23,106,23,4,0,0,5,18,110,0,0,0,5,18,36,0,0.217391,/data/bc/MyCatcher/outputs/tcases/cpp/p03846/report.txt
p03849,50,0,1,0,49,0,0,0,0,50,0,0,0,0,0,23,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03849/report.txt
p03853,107,8,98,8,0,0,1,0,0,0,0,0,0,8,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03853/report.txt
p03854,136,1,135,1,0,0,0,1,0,135,0,0,0,1,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03854/report.txt
p03858,143,3,29,3,111,0,0,0,3,140,0,0,0,0,3,75,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03858/report.txt
p03859,132,0,0,0,132,0,0,0,0,128,4,0,0,0,0,104,4,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03859/report.txt
p03862,123,4,119,4,0,0,0,4,0,119,0,0,0,4,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03862/report.txt
p03940,147,0,0,0,147,0,0,0,0,147,0,0,0,0,0,66,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03940/report.txt
p03944,132,11,63,11,58,0,0,11,0,121,0,0,0,11,0,42,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03944/report.txt
p03951,91,0,4,0,87,0,0,0,0,91,0,0,0,0,0,35,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03951/report.txt
p03969,117,3,9,3,105,0,0,0,3,114,0,0,0,0,3,99,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03969/report.txt
p03988,84,32,41,32,11,0,0,1,31,52,0,0,0,1,31,31,0,0.03125,/data/bc/MyCatcher/outputs/tcases/cpp/p03988/report.txt
p03989,62,0,0,0,62,0,0,0,0,62,0,0,0,0,0,62,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03989/report.txt
p03998,137,26,110,26,1,0,0,25,1,110,1,0,0,25,1,1,1,0.961538,/data/bc/MyCatcher/outputs/tcases/cpp/p03998/report.txt
p04000,85,5,77,5,3,0,0,0,0,0,0,0,0,0,5,7,1,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p04000/report.txt
p04004,71,0,0,0,71,0,0,0,0,70,1,0,0,0,0,69,1,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04004/report.txt
p04005,114,0,1,0,113,0,0,0,0,114,0,0,0,0,0,73,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04005/report.txt
p04006,140,75,1,75,64,0,0,0,75,65,0,0,0,0,75,139,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p04006/report.txt
p04010,71,0,9,0,62,0,0,0,0,0,71,0,0,0,0,0,71,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04010/report.txt
p04012,153,3,150,3,0,0,0,3,0,150,0,0,0,3,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p04012/report.txt
p04015,96,0,71,0,25,0,0,0,0,96,0,0,0,0,0,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04015/report.txt
p04021,149,15,43,15,91,0,0,0,15,134,0,0,0,0,15,92,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p04021/report.txt
p04028,126,0,2,0,124,0,0,0,0,126,0,0,0,0,0,57,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04028/report.txt
p04030,144,10,134,10,0,0,0,8,0,118,0,18,0,8,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p04030/report.txt
p04043,126,15,111,15,0,0,0,6,9,111,0,0,0,6,9,9,0,0.4,/data/bc/MyCatcher/outputs/tcases/cpp/p04043/report.txt
p04047,153,0,153,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04047/report.txt
p04051,155,0,0,0,155,0,0,0,0,155,0,0,0,0,0,155,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p04051/report.txt
TOTAL,29680,3556,12288,3556,13485,140,211,1471,1531,23118,269,168,119,1760,1761,11088,318,0.49985799488781596,
