pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p02733,123,0,0,0,123,0,0,0,0,123,0,0,0,0,0,119,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02733/report.txt
p02737,148,0,0,0,148,0,0,0,0,133,15,0,0,0,0,132,15,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02737/report.txt
p02756,169,39,128,39,2,0,0,39,0,130,0,0,0,39,0,2,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02756/report.txt
p02757,132,3,114,3,15,0,0,0,3,129,0,0,0,0,3,16,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02757/report.txt
p02758,123,8,0,8,115,0,0,0,8,115,0,0,0,0,8,123,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02758/report.txt
p02760,136,0,84,0,52,0,0,0,0,136,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02760/report.txt
p02761,104,4,76,4,22,0,2,4,0,98,0,0,2,4,0,4,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02761/report.txt
p02766,112,6,103,6,2,0,1,6,0,105,0,0,1,6,0,2,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02766/report.txt
p02767,123,64,59,64,0,0,0,62,2,59,0,0,0,62,2,2,0,0.96875,/data/bc/MyCatcher/outputs/tcases/cpp/p02767/report.txt
p02775,74,0,0,0,74,0,0,0,0,74,0,0,0,0,0,64,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02775/report.txt
p02777,164,16,148,16,0,0,0,5,11,148,0,0,0,5,11,11,0,0.3125,/data/bc/MyCatcher/outputs/tcases/cpp/p02777/report.txt
p02781,89,0,52,0,36,1,0,0,0,87,0,2,0,0,0,33,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02781/report.txt
p02787,145,5,75,5,65,0,0,1,4,140,0,0,0,1,4,40,0,0.2,/data/bc/MyCatcher/outputs/tcases/cpp/p02787/report.txt
p02794,133,0,0,0,133,0,0,0,0,131,2,0,0,0,0,127,2,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02794/report.txt
p02802,134,3,88,3,43,0,0,3,0,130,1,0,0,3,0,4,1,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02802/report.txt
p02812,134,9,125,9,0,0,0,9,0,123,2,0,0,9,0,0,2,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02812/report.txt
p02830,122,17,104,17,0,0,1,16,0,104,0,0,1,17,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02830/report.txt
p02832,118,51,0,51,67,0,0,23,28,67,0,0,0,23,28,95,0,0.45098,/data/bc/MyCatcher/outputs/tcases/cpp/p02832/report.txt
p02838,140,3,137,3,0,0,0,2,1,137,0,0,0,2,1,1,0,0.666667,/data/bc/MyCatcher/outputs/tcases/cpp/p02838/report.txt
p02840,150,3,21,3,126,0,0,0,3,147,0,0,0,0,3,108,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02840/report.txt
p02860,87,2,85,2,0,0,0,2,0,85,0,0,0,2,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02860/report.txt
