pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p02709,ok,139,10,10,0,0,0,139,0,0,,110,0,outputs/tcases/cpp/p02709/summary.json,outputs/tcases/cpp/p02709/report.txt,outputs/tcases/cpp/p02709/detail.csv
p02715,ok,57,10,10,0,0,10,47,0,0,,39,0,outputs/tcases/cpp/p02715/summary.json,outputs/tcases/cpp/p02715/report.txt,outputs/tcases/cpp/p02715/detail.csv
p02716,ok,109,10,10,30,30,52,27,3,27,0.1,49,0,outputs/tcases/cpp/p02716/summary.json,outputs/tcases/cpp/p02716/report.txt,outputs/tcases/cpp/p02716/detail.csv
p02718,ok,130,10,10,1,1,115,14,0,1,0.0,1,0,outputs/tcases/cpp/p02718/summary.json,outputs/tcases/cpp/p02718/report.txt,outputs/tcases/cpp/p02718/detail.csv
p02726,ok,79,10,10,0,0,0,79,0,0,,0,0,outputs/tcases/cpp/p02726/summary.json,outputs/tcases/cpp/p02726/report.txt,outputs/tcases/cpp/p02726/detail.csv
p02728,ok,104,10,10,0,0,0,104,0,0,,104,0,outputs/tcases/cpp/p02728/summary.json,outputs/tcases/cpp/p02728/report.txt,outputs/tcases/cpp/p02728/detail.csv
p02730,ok,125,10,10,13,13,111,0,5,8,0.38461538461538464,8,0,outputs/tcases/cpp/p02730/summary.json,outputs/tcases/cpp/p02730/report.txt,outputs/tcases/cpp/p02730/detail.csv
p02732,ok,88,10,10,83,83,5,0,0,83,0.0,83,0,outputs/tcases/cpp/p02732/summary.json,outputs/tcases/cpp/p02732/report.txt,outputs/tcases/cpp/p02732/detail.csv
p02733,ok,123,10,10,0,0,0,123,0,0,,119,0,outputs/tcases/cpp/p02733/summary.json,outputs/tcases/cpp/p02733/report.txt,outputs/tcases/cpp/p02733/detail.csv
p02737,ok,148,10,10,0,0,0,148,0,0,,132,15,outputs/tcases/cpp/p02737/summary.json,outputs/tcases/cpp/p02737/report.txt,outputs/tcases/cpp/p02737/detail.csv
p02756,ok,169,10,10,39,39,128,2,39,0,1.0,2,0,outputs/tcases/cpp/p02756/summary.json,outputs/tcases/cpp/p02756/report.txt,outputs/tcases/cpp/p02756/detail.csv
p02757,ok,132,10,10,3,3,114,15,0,3,0.0,16,0,outputs/tcases/cpp/p02757/summary.json,outputs/tcases/cpp/p02757/report.txt,outputs/tcases/cpp/p02757/detail.csv
