pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p03350,ok,101,10,10,2,2,11,88,0,0,,59,0,outputs/tcases/cpp/p03350/summary.json,outputs/tcases/cpp/p03350/report.txt,outputs/tcases/cpp/p03350/detail.csv
p03351,ok,87,10,10,6,6,81,0,6,0,1.0,0,0,outputs/tcases/cpp/p03351/summary.json,outputs/tcases/cpp/p03351/report.txt,outputs/tcases/cpp/p03351/detail.csv
p03352,ok,48,10,10,9,9,31,8,9,0,1.0,8,0,outputs/tcases/cpp/p03352/summary.json,outputs/tcases/cpp/p03352/report.txt,outputs/tcases/cpp/p03352/detail.csv
p03361,ok,117,10,10,30,30,77,10,30,0,1.0,41,0,outputs/tcases/cpp/p03361/summary.json,outputs/tcases/cpp/p03361/report.txt,outputs/tcases/cpp/p03361/detail.csv
p03365,ok,27,10,10,2,2,0,25,1,1,0.5,26,0,outputs/tcases/cpp/p03365/summary.json,outputs/tcases/cpp/p03365/report.txt,outputs/tcases/cpp/p03365/detail.csv
p03374,ok,156,10,10,26,26,0,130,16,10,0.6153846153846154,41,0,outputs/tcases/cpp/p03374/summary.json,outputs/tcases/cpp/p03374/report.txt,outputs/tcases/cpp/p03374/detail.csv
p03383,ok,123,10,10,10,10,113,0,1,9,0.1,12,0,outputs/tcases/cpp/p03383/summary.json,outputs/tcases/cpp/p03383/report.txt,outputs/tcases/cpp/p03383/detail.csv
p03391,ok,156,10,10,56,56,5,95,0,56,0.0,134,0,outputs/tcases/cpp/p03391/summary.json,outputs/tcases/cpp/p03391/report.txt,outputs/tcases/cpp/p03391/detail.csv
p03393,ok,114,10,10,77,77,3,34,0,77,0.0,113,0,outputs/tcases/cpp/p03393/summary.json,outputs/tcases/cpp/p03393/report.txt,outputs/tcases/cpp/p03393/detail.csv
p03396,ok,122,10,10,0,0,0,122,0,0,,117,0,outputs/tcases/cpp/p03396/summary.json,outputs/tcases/cpp/p03396/report.txt,outputs/tcases/cpp/p03396/detail.csv
p03403,ok,132,10,10,0,0,6,126,0,0,,126,0,outputs/tcases/cpp/p03403/summary.json,outputs/tcases/cpp/p03403/report.txt,outputs/tcases/cpp/p03403/detail.csv
p03406,ok,101,10,10,7,7,0,94,3,4,0.42857142857142855,66,0,outputs/tcases/cpp/p03406/summary.json,outputs/tcases/cpp/p03406/report.txt,outputs/tcases/cpp/p03406/detail.csv
p03408,ok,134,10,10,8,8,126,0,8,0,1.0,0,0,outputs/tcases/cpp/p03408/summary.json,outputs/tcases/cpp/p03408/report.txt,outputs/tcases/cpp/p03408/detail.csv
p03421,ok,124,10,10,0,0,42,82,0,0,,72,0,outputs/tcases/cpp/p03421/summary.json,outputs/tcases/cpp/p03421/report.txt,outputs/tcases/cpp/p03421/detail.csv
p03424,ok,128,10,10,56,56,72,0,16,40,0.2857142857142857,42,0,outputs/tcases/cpp/p03424/summary.json,outputs/tcases/cpp/p03424/report.txt,outputs/tcases/cpp/p03424/detail.csv
p03427,ok,64,10,10,42,42,12,10,0,42,0.0,52,0,outputs/tcases/cpp/p03427/summary.json,outputs/tcases/cpp/p03427/report.txt,outputs/tcases/cpp/p03427/detail.csv
p03431,ok,79,10,10,1,1,0,78,0,1,0.0,52,0,outputs/tcases/cpp/p03431/summary.json,outputs/tcases/cpp/p03431/report.txt,outputs/tcases/cpp/p03431/detail.csv
p03434,ok,152,10,10,152,152,0,0,152,0,1.0,0,0,outputs/tcases/cpp/p03434/summary.json,outputs/tcases/cpp/p03434/report.txt,outputs/tcases/cpp/p03434/detail.csv
p03435,ok,122,10,10,32,32,71,19,4,28,0.125,28,0,outputs/tcases/cpp/p03435/summary.json,outputs/tcases/cpp/p03435/report.txt,outputs/tcases/cpp/p03435/detail.csv
p03452,ok,76,10,10,3,3,69,4,3,0,1.0,0,0,outputs/tcases/cpp/p03452/summary.json,outputs/tcases/cpp/p03452/report.txt,outputs/tcases/cpp/p03452/detail.csv
p03456,ok,133,10,10,14,14,119,0,14,0,1.0,0,0,outputs/tcases/cpp/p03456/summary.json,outputs/tcases/cpp/p03456/report.txt,outputs/tcases/cpp/p03456/detail.csv
p03458,ok,126,10,10,0,0,2,124,0,0,,78,0,outputs/tcases/cpp/p03458/summary.json,outputs/tcases/cpp/p03458/report.txt,outputs/tcases/cpp/p03458/detail.csv
p03462,ok,82,10,10,0,0,0,82,0,0,,70,0,outputs/tcases/cpp/p03462/summary.json,outputs/tcases/cpp/p03462/report.txt,outputs/tcases/cpp/p03462/detail.csv
p03469,ok,59,10,10,28,28,31,0,26,0,1.0,0,2,outputs/tcases/cpp/p03469/summary.json,outputs/tcases/cpp/p03469/report.txt,outputs/tcases/cpp/p03469/detail.csv
p03475,ok,126,10,10,49,49,11,0,49,0,1.0,0,0,outputs/tcases/cpp/p03475/summary.json,outputs/tcases/cpp/p03475/report.txt,outputs/tcases/cpp/p03475/detail.csv
p03484,ok,66,10,10,0,0,1,65,0,0,,64,1,outputs/tcases/cpp/p03484/summary.json,outputs/tcases/cpp/p03484/report.txt,outputs/tcases/cpp/p03484/detail.csv
p03492,ok,94,10,10,0,0,0,94,0,0,,85,7,outputs/tcases/cpp/p03492/summary.json,outputs/tcases/cpp/p03492/report.txt,outputs/tcases/cpp/p03492/detail.csv
p03494,ok,123,10,10,6,6,117,0,6,0,1.0,1,0,outputs/tcases/cpp/p03494/summary.json,outputs/tcases/cpp/p03494/report.txt,outputs/tcases/cpp/p03494/detail.csv
p03497,ok,132,10,10,0,0,0,132,0,0,,118,2,outputs/tcases/cpp/p03497/summary.json,outputs/tcases/cpp/p03497/report.txt,outputs/tcases/cpp/p03497/detail.csv
p03500,ok,124,10,10,0,0,0,124,0,0,,122,0,outputs/tcases/cpp/p03500/summary.json,outputs/tcases/cpp/p03500/report.txt,outputs/tcases/cpp/p03500/detail.csv
p03502,missing_summary,0,0,0,0,0,0,0,0,0,,0,0,,,
p03503,ok,162,10,10,32,32,85,11,32,0,1.0,3,0,outputs/tcases/cpp/p03503/summary.json,outputs/tcases/cpp/p03503/report.txt,outputs/tcases/cpp/p03503/detail.csv
p03543,ok,63,10,10,3,3,60,0,3,0,1.0,0,0,outputs/tcases/cpp/p03543/summary.json,outputs/tcases/cpp/p03543/report.txt,outputs/tcases/cpp/p03543/detail.csv
p03544,ok,23,10,10,0,0,23,0,0,0,,0,0,outputs/tcases/cpp/p03544/summary.json,outputs/tcases/cpp/p03544/report.txt,outputs/tcases/cpp/p03544/detail.csv
p03546,ok,85,10,10,18,18,15,0,18,0,1.0,2,0,outputs/tcases/cpp/p03546/summary.json,outputs/tcases/cpp/p03546/report.txt,outputs/tcases/cpp/p03546/detail.csv
p03553,ok,111,10,10,9,9,34,68,4,5,0.4444444444444444,52,0,outputs/tcases/cpp/p03553/summary.json,outputs/tcases/cpp/p03553/report.txt,outputs/tcases/cpp/p03553/detail.csv
p03558,ok,55,10,10,0,0,0,55,0,0,,48,0,outputs/tcases/cpp/p03558/summary.json,outputs/tcases/cpp/p03558/report.txt,outputs/tcases/cpp/p03558/detail.csv
p03561,ok,64,10,10,0,0,2,62,0,0,,58,0,outputs/tcases/cpp/p03561/summary.json,outputs/tcases/cpp/p03561/report.txt,outputs/tcases/cpp/p03561/detail.csv
p03562,ok,162,10,10,0,0,0,162,0,0,,156,0,outputs/tcases/cpp/p03562/summary.json,outputs/tcases/cpp/p03562/report.txt,outputs/tcases/cpp/p03562/detail.csv
p03565,ok,143,10,10,3,3,96,44,3,0,1.0,4,0,outputs/tcases/cpp/p03565/summary.json,outputs/tcases/cpp/p03565/report.txt,outputs/tcases/cpp/p03565/detail.csv
p03573,ok,126,10,10,15,15,111,0,12,3,0.8,3,0,outputs/tcases/cpp/p03573/summary.json,outputs/tcases/cpp/p03573/report.txt,outputs/tcases/cpp/p03573/detail.csv
p03574,ok,119,10,10,6,6,99,14,6,0,1.0,14,0,outputs/tcases/cpp/p03574/summary.json,outputs/tcases/cpp/p03574/report.txt,outputs/tcases/cpp/p03574/detail.csv
p03575,ok,110,10,10,7,7,98,5,0,7,0.0,11,0,outputs/tcases/cpp/p03575/summary.json,outputs/tcases/cpp/p03575/report.txt,outputs/tcases/cpp/p03575/detail.csv
p03604,ok,106,10,10,0,0,0,106,0,0,,49,0,outputs/tcases/cpp/p03604/summary.json,outputs/tcases/cpp/p03604/report.txt,outputs/tcases/cpp/p03604/detail.csv
p03608,ok,133,10,10,56,56,65,11,44,10,0.8148148148148148,15,8,outputs/tcases/cpp/p03608/summary.json,outputs/tcases/cpp/p03608/report.txt,outputs/tcases/cpp/p03608/detail.csv
p03613,ok,126,10,10,0,0,5,121,0,0,,52,3,outputs/tcases/cpp/p03613/summary.json,outputs/tcases/cpp/p03613/report.txt,outputs/tcases/cpp/p03613/detail.csv
p03616,ok,136,10,10,10,10,12,114,4,5,0.4444444444444444,114,0,outputs/tcases/cpp/p03616/summary.json,outputs/tcases/cpp/p03616/report.txt,outputs/tcases/cpp/p03616/detail.csv
p03620,ok,108,10,10,65,65,25,18,0,65,0.0,83,0,outputs/tcases/cpp/p03620/summary.json,outputs/tcases/cpp/p03620/report.txt,outputs/tcases/cpp/p03620/detail.csv
p03625,ok,134,10,10,1,1,113,20,1,0,1.0,3,0,outputs/tcases/cpp/p03625/summary.json,outputs/tcases/cpp/p03625/report.txt,outputs/tcases/cpp/p03625/detail.csv
p03629,ok,106,10,10,0,0,8,98,0,0,,5,0,outputs/tcases/cpp/p03629/summary.json,outputs/tcases/cpp/p03629/report.txt,outputs/tcases/cpp/p03629/detail.csv
p03630,ok,120,10,10,46,46,0,74,0,46,0.0,118,0,outputs/tcases/cpp/p03630/summary.json,outputs/tcases/cpp/p03630/report.txt,outputs/tcases/cpp/p03630/detail.csv
p03642,ok,116,10,10,5,5,1,110,0,4,0.0,92,2,outputs/tcases/cpp/p03642/summary.json,outputs/tcases/cpp/p03642/report.txt,outputs/tcases/cpp/p03642/detail.csv
p03647,ok,120,10,10,9,9,92,19,9,0,1.0,19,4,outputs/tcases/cpp/p03647/summary.json,outputs/tcases/cpp/p03647/report.txt,outputs/tcases/cpp/p03647/detail.csv
p03652,ok,117,10,10,62,62,24,31,0,62,0.0,93,0,outputs/tcases/cpp/p03652/summary.json,outputs/tcases/cpp/p03652/report.txt,outputs/tcases/cpp/p03652/detail.csv
p03664,ok,143,10,10,25,25,2,116,0,25,0.0,138,1,outputs/tcases/cpp/p03664/summary.json,outputs/tcases/cpp/p03664/report.txt,outputs/tcases/cpp/p03664/detail.csv
p03665,ok,117,10,10,5,5,99,13,4,1,0.8,11,0,outputs/tcases/cpp/p03665/summary.json,outputs/tcases/cpp/p03665/report.txt,outputs/tcases/cpp/p03665/detail.csv
p03679,ok,141,10,10,35,35,106,0,15,0,1.0,0,0,outputs/tcases/cpp/p03679/summary.json,outputs/tcases/cpp/p03679/report.txt,outputs/tcases/cpp/p03679/detail.csv
p03684,ok,138,10,10,16,16,67,55,0,16,0.0,35,0,outputs/tcases/cpp/p03684/summary.json,outputs/tcases/cpp/p03684/report.txt,outputs/tcases/cpp/p03684/detail.csv
p03695,ok,133,10,10,120,120,0,13,120,0,1.0,13,0,outputs/tcases/cpp/p03695/summary.json,outputs/tcases/cpp/p03695/report.txt,outputs/tcases/cpp/p03695/detail.csv
p03698,missing_summary,0,0,0,0,0,0,0,0,0,,0,0,,,
p03703,ok,131,10,10,2,2,129,0,2,0,1.0,0,0,outputs/tcases/cpp/p03703/summary.json,outputs/tcases/cpp/p03703/report.txt,outputs/tcases/cpp/p03703/detail.csv
p03705,ok,106,10,10,18,18,85,3,18,0,1.0,3,0,outputs/tcases/cpp/p03705/summary.json,outputs/tcases/cpp/p03705/report.txt,outputs/tcases/cpp/p03705/detail.csv
p03713,ok,77,10,10,0,0,46,31,0,0,,19,0,outputs/tcases/cpp/p03713/summary.json,outputs/tcases/cpp/p03713/report.txt,outputs/tcases/cpp/p03713/detail.csv
p03718,ok,130,10,10,29,29,0,101,0,29,0.0,126,0,outputs/tcases/cpp/p03718/summary.json,outputs/tcases/cpp/p03718/report.txt,outputs/tcases/cpp/p03718/detail.csv
p03719,ok,100,10,10,4,4,96,0,4,0,1.0,0,0,outputs/tcases/cpp/p03719/summary.json,outputs/tcases/cpp/p03719/report.txt,outputs/tcases/cpp/p03719/detail.csv
p03722,ok,149,10,10,5,5,135,9,4,1,0.8,10,0,outputs/tcases/cpp/p03722/summary.json,outputs/tcases/cpp/p03722/report.txt,outputs/tcases/cpp/p03722/detail.csv
p03723,ok,106,10,10,2,2,104,0,2,0,1.0,0,0,outputs/tcases/cpp/p03723/summary.json,outputs/tcases/cpp/p03723/report.txt,outputs/tcases/cpp/p03723/detail.csv
p03725,ok,120,10,10,1,1,81,38,0,1,0.0,90,0,outputs/tcases/cpp/p03725/summary.json,outputs/tcases/cpp/p03725/report.txt,outputs/tcases/cpp/p03725/detail.csv
p03730,ok,89,10,10,4,4,57,28,4,0,1.0,0,0,outputs/tcases/cpp/p03730/summary.json,outputs/tcases/cpp/p03730/report.txt,outputs/tcases/cpp/p03730/detail.csv
p03734,ok,122,10,10,21,21,77,11,21,0,1.0,0,0,outputs/tcases/cpp/p03734/summary.json,outputs/tcases/cpp/p03734/report.txt,outputs/tcases/cpp/p03734/detail.csv
p03750,ok,144,10,10,1,1,0,143,0,1,0.0,86,52,outputs/tcases/cpp/p03750/summary.json,outputs/tcases/cpp/p03750/report.txt,outputs/tcases/cpp/p03750/detail.csv
p03765,ok,152,10,10,62,62,84,6,7,55,0.11290322580645161,65,0,outputs/tcases/cpp/p03765/summary.json,outputs/tcases/cpp/p03765/report.txt,outputs/tcases/cpp/p03765/detail.csv
p03768,ok,148,10,10,0,0,57,91,0,0,,17,3,outputs/tcases/cpp/p03768/summary.json,outputs/tcases/cpp/p03768/report.txt,outputs/tcases/cpp/p03768/detail.csv
p03770,ok,144,10,10,0,0,0,144,0,0,,98,0,outputs/tcases/cpp/p03770/summary.json,outputs/tcases/cpp/p03770/report.txt,outputs/tcases/cpp/p03770/detail.csv
p03771,ok,156,10,10,0,0,17,139,0,0,,35,0,outputs/tcases/cpp/p03771/summary.json,outputs/tcases/cpp/p03771/report.txt,outputs/tcases/cpp/p03771/detail.csv
p03774,ok,132,10,10,4,4,128,0,3,1,0.75,14,0,outputs/tcases/cpp/p03774/summary.json,outputs/tcases/cpp/p03774/report.txt,outputs/tcases/cpp/p03774/detail.csv
p03775,ok,62,10,10,0,0,0,62,0,0,,18,0,outputs/tcases/cpp/p03775/summary.json,outputs/tcases/cpp/p03775/report.txt,outputs/tcases/cpp/p03775/detail.csv
p03778,ok,135,10,10,19,19,116,0,19,0,1.0,0,0,outputs/tcases/cpp/p03778/summary.json,outputs/tcases/cpp/p03778/report.txt,outputs/tcases/cpp/p03778/detail.csv
p03788,ok,134,10,10,4,4,6,124,1,3,0.25,115,0,outputs/tcases/cpp/p03788/summary.json,outputs/tcases/cpp/p03788/report.txt,outputs/tcases/cpp/p03788/detail.csv
p03799,ok,114,10,10,48,48,66,0,15,33,0.3125,33,0,outputs/tcases/cpp/p03799/summary.json,outputs/tcases/cpp/p03799/report.txt,outputs/tcases/cpp/p03799/detail.csv
p03802,ok,134,10,10,115,115,19,0,0,115,0.0,115,0,outputs/tcases/cpp/p03802/summary.json,outputs/tcases/cpp/p03802/report.txt,outputs/tcases/cpp/p03802/detail.csv
p03803,ok,95,10,10,11,11,84,0,11,0,1.0,0,0,outputs/tcases/cpp/p03803/summary.json,outputs/tcases/cpp/p03803/report.txt,outputs/tcases/cpp/p03803/detail.csv
p03804,ok,149,10,10,8,8,141,0,8,0,1.0,0,10,outputs/tcases/cpp/p03804/summary.json,outputs/tcases/cpp/p03804/report.txt,outputs/tcases/cpp/p03804/detail.csv
p03806,ok,164,10,10,11,11,97,56,0,11,0.0,11,0,outputs/tcases/cpp/p03806/summary.json,outputs/tcases/cpp/p03806/report.txt,outputs/tcases/cpp/p03806/detail.csv
p03816,ok,129,10,10,0,0,0,129,0,0,,95,0,outputs/tcases/cpp/p03816/summary.json,outputs/tcases/cpp/p03816/report.txt,outputs/tcases/cpp/p03816/detail.csv
p03824,ok,93,10,10,11,11,1,81,0,11,0.0,69,0,outputs/tcases/cpp/p03824/summary.json,outputs/tcases/cpp/p03824/report.txt,outputs/tcases/cpp/p03824/detail.csv
p03825,ok,108,10,10,0,0,2,106,0,0,,37,0,outputs/tcases/cpp/p03825/summary.json,outputs/tcases/cpp/p03825/report.txt,outputs/tcases/cpp/p03825/detail.csv
p03828,ok,22,10,10,0,0,12,10,0,0,,10,0,outputs/tcases/cpp/p03828/summary.json,outputs/tcases/cpp/p03828/report.txt,outputs/tcases/cpp/p03828/detail.csv
p03843,ok,129,10,10,12,12,0,116,0,12,0.0,128,1,outputs/tcases/cpp/p03843/summary.json,outputs/tcases/cpp/p03843/report.txt,outputs/tcases/cpp/p03843/detail.csv
p03845,ok,140,10,10,0,0,140,0,0,0,,0,0,outputs/tcases/cpp/p03845/summary.json,outputs/tcases/cpp/p03845/report.txt,outputs/tcases/cpp/p03845/detail.csv
p03846,ok,133,10,10,23,23,106,4,5,18,0.21739130434782608,36,0,outputs/tcases/cpp/p03846/summary.json,outputs/tcases/cpp/p03846/report.txt,outputs/tcases/cpp/p03846/detail.csv
p03849,ok,50,10,10,0,0,1,49,0,0,,23,0,outputs/tcases/cpp/p03849/summary.json,outputs/tcases/cpp/p03849/report.txt,outputs/tcases/cpp/p03849/detail.csv
p03853,ok,107,10,10,8,8,98,0,8,0,1.0,0,0,outputs/tcases/cpp/p03853/summary.json,outputs/tcases/cpp/p03853/report.txt,outputs/tcases/cpp/p03853/detail.csv
p03854,ok,136,10,10,1,1,135,0,1,0,1.0,0,0,outputs/tcases/cpp/p03854/summary.json,outputs/tcases/cpp/p03854/report.txt,outputs/tcases/cpp/p03854/detail.csv
p03858,ok,143,10,10,3,3,29,111,0,3,0.0,75,0,outputs/tcases/cpp/p03858/summary.json,outputs/tcases/cpp/p03858/report.txt,outputs/tcases/cpp/p03858/detail.csv
p03859,ok,132,10,10,0,0,0,132,0,0,,104,4,outputs/tcases/cpp/p03859/summary.json,outputs/tcases/cpp/p03859/report.txt,outputs/tcases/cpp/p03859/detail.csv
p03862,ok,123,10,10,4,4,119,0,4,0,1.0,0,0,outputs/tcases/cpp/p03862/summary.json,outputs/tcases/cpp/p03862/report.txt,outputs/tcases/cpp/p03862/detail.csv
p03940,ok,147,10,10,0,0,0,147,0,0,,66,0,outputs/tcases/cpp/p03940/summary.json,outputs/tcases/cpp/p03940/report.txt,outputs/tcases/cpp/p03940/detail.csv
p03944,ok,132,10,10,11,11,63,58,11,0,1.0,42,0,outputs/tcases/cpp/p03944/summary.json,outputs/tcases/cpp/p03944/report.txt,outputs/tcases/cpp/p03944/detail.csv
p03951,ok,91,10,10,0,0,4,87,0,0,,35,0,outputs/tcases/cpp/p03951/summary.json,outputs/tcases/cpp/p03951/report.txt,outputs/tcases/cpp/p03951/detail.csv
p03969,ok,117,10,10,3,3,9,105,0,3,0.0,99,0,outputs/tcases/cpp/p03969/summary.json,outputs/tcases/cpp/p03969/report.txt,outputs/tcases/cpp/p03969/detail.csv
p03988,ok,84,10,10,32,32,41,11,1,31,0.03125,31,0,outputs/tcases/cpp/p03988/summary.json,outputs/tcases/cpp/p03988/report.txt,outputs/tcases/cpp/p03988/detail.csv
p03989,ok,62,10,10,0,0,0,62,0,0,,62,0,outputs/tcases/cpp/p03989/summary.json,outputs/tcases/cpp/p03989/report.txt,outputs/tcases/cpp/p03989/detail.csv
p03998,ok,137,10,10,26,26,110,1,25,1,0.9615384615384616,1,1,outputs/tcases/cpp/p03998/summary.json,outputs/tcases/cpp/p03998/report.txt,outputs/tcases/cpp/p03998/detail.csv
p04000,ok,85,10,10,5,5,77,3,0,5,0.0,7,1,outputs/tcases/cpp/p04000/summary.json,outputs/tcases/cpp/p04000/report.txt,outputs/tcases/cpp/p04000/detail.csv
p04004,ok,71,10,10,0,0,0,71,0,0,,69,1,outputs/tcases/cpp/p04004/summary.json,outputs/tcases/cpp/p04004/report.txt,outputs/tcases/cpp/p04004/detail.csv
p04005,ok,114,10,10,0,0,1,113,0,0,,73,0,outputs/tcases/cpp/p04005/summary.json,outputs/tcases/cpp/p04005/report.txt,outputs/tcases/cpp/p04005/detail.csv
p04006,ok,140,10,10,75,75,1,64,0,75,0.0,139,0,outputs/tcases/cpp/p04006/summary.json,outputs/tcases/cpp/p04006/report.txt,outputs/tcases/cpp/p04006/detail.csv
p04010,ok,71,10,10,0,0,9,62,0,0,,0,71,outputs/tcases/cpp/p04010/summary.json,outputs/tcases/cpp/p04010/report.txt,outputs/tcases/cpp/p04010/detail.csv
p04012,ok,153,10,10,3,3,150,0,3,0,1.0,0,0,outputs/tcases/cpp/p04012/summary.json,outputs/tcases/cpp/p04012/report.txt,outputs/tcases/cpp/p04012/detail.csv
p04015,ok,96,10,10,0,0,71,25,0,0,,2,0,outputs/tcases/cpp/p04015/summary.json,outputs/tcases/cpp/p04015/report.txt,outputs/tcases/cpp/p04015/detail.csv
p04021,ok,149,10,10,15,15,43,91,0,15,0.0,92,0,outputs/tcases/cpp/p04021/summary.json,outputs/tcases/cpp/p04021/report.txt,outputs/tcases/cpp/p04021/detail.csv
p04028,ok,126,10,10,0,0,2,124,0,0,,57,0,outputs/tcases/cpp/p04028/summary.json,outputs/tcases/cpp/p04028/report.txt,outputs/tcases/cpp/p04028/detail.csv
p04030,ok,144,10,10,10,10,134,0,8,0,1.0,0,0,outputs/tcases/cpp/p04030/summary.json,outputs/tcases/cpp/p04030/report.txt,outputs/tcases/cpp/p04030/detail.csv
p04043,ok,126,10,10,15,15,111,0,6,9,0.4,9,0,outputs/tcases/cpp/p04043/summary.json,outputs/tcases/cpp/p04043/report.txt,outputs/tcases/cpp/p04043/detail.csv
p04047,ok,153,10,10,0,0,153,0,0,0,,0,0,outputs/tcases/cpp/p04047/summary.json,outputs/tcases/cpp/p04047/report.txt,outputs/tcases/cpp/p04047/detail.csv
p04051,ok,155,10,10,0,0,0,155,0,0,,155,0,outputs/tcases/cpp/p04051/summary.json,outputs/tcases/cpp/p04051/report.txt,outputs/tcases/cpp/p04051/detail.csv
