pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p03642,100,1,0,1,99,0,0,0,1,99,0,0,0,0,1,59,0,0.0,1,99,0,1,0.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03642/report.txt
p03644,100,0,17,0,83,0,0,0,0,100,0,0,0,0,0,0,0,0,0,83,0,0,0,17,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03644/report.txt
p03647,61,0,60,0,1,0,0,0,0,61,0,0,0,0,0,2,0,0,0,1,0,0,0,60,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03647/report.txt
p03652,97,81,4,81,12,0,0,0,81,16,0,0,0,0,81,90,0,0.0,79,14,0,79,0.0,4,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03652/report.txt
p03664,100,20,1,20,79,0,0,0,20,80,0,0,0,0,20,99,0,0.0,20,79,0,20,0.0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03664/report.txt
p03665,100,6,53,6,41,0,0,1,5,94,0,0,0,1,5,36,0,0.166667,6,41,1,5,0.166667,53,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03665/report.txt
p03679,100,35,65,35,0,0,0,0,0,82,0,0,0,18,0,0,0,1.0,35,0,18,0,1.0,65,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03679/report.txt
p03684,100,8,6,8,86,0,0,0,8,92,0,0,0,0,8,94,0,0.0,2,92,0,2,0.0,6,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03684/report.txt
p03686,100,8,4,8,87,0,1,0,8,91,0,0,1,0,8,92,0,0.0,4,91,0,4,0.0,4,0,1,/data/bc/MyCatcher/outputs/tcases/cpp/p03686/report.txt
p03695,100,95,0,95,5,0,0,95,0,5,0,0,0,95,0,4,0,1.0,95,5,95,0,1.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03695/report.txt
p03698,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03698/report.txt
p03699,100,95,2,95,3,0,0,79,16,5,0,0,0,79,16,19,0,0.831579,95,3,79,16,0.831579,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03699/report.txt
p03703,100,1,7,1,35,57,0,1,0,42,0,57,0,1,0,13,0,1.0,1,35,1,0,1.0,7,57,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03703/report.txt
p03705,100,6,56,6,38,0,0,6,0,94,0,0,0,6,0,38,0,1.0,6,38,6,0,1.0,56,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03705/report.txt
p03713,100,0,55,0,45,0,0,0,0,100,0,0,0,0,0,38,0,0,0,46,0,0,0,54,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03713/report.txt
p03718,98,5,0,5,93,0,0,0,5,93,0,0,0,0,5,96,0,0.0,4,94,0,4,0.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03718/report.txt
p03719,100,2,98,2,0,0,0,2,0,98,0,0,0,2,0,0,0,1.0,2,0,2,0,1.0,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03719/report.txt
p03723,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03723/report.txt
p03725,96,0,0,0,96,0,0,0,0,95,1,0,0,0,0,38,1,0,0,96,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03725/report.txt
p03730,100,3,97,3,0,0,0,3,0,97,0,0,0,3,0,0,0,1.0,1,62,1,0,1.0,37,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03730/report.txt
p03734,30,0,7,0,13,10,0,0,0,20,0,10,0,0,0,0,0,0,0,13,0,0,0,7,10,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03734/report.txt
p03747,100,47,2,47,51,0,0,0,0,1,0,0,0,0,47,98,0,0.0,36,62,0,36,0.0,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03747/report.txt
p03750,100,0,4,0,95,1,0,0,0,2,4,0,0,0,0,93,5,0,0,95,0,0,0,4,1,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03750/report.txt
p03765,100,88,7,88,5,0,0,0,4,6,0,0,0,0,88,93,0,0.0,84,9,0,84,0.0,7,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03765/report.txt
p03770,60,0,0,0,60,0,0,0,0,59,1,0,0,0,0,50,1,0,0,60,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03770/report.txt
p03774,93,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03774/report.txt
p03775,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,9,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03775/report.txt
