pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p03644,100,0,17,0,83,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03644/report.txt
p03698,98,61,37,61,0,0,61,0,37,0,0,61,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03698/report.txt
p03705,100,6,56,6,38,0,6,0,94,0,0,6,0,38,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03705/report.txt
p03719,100,2,98,2,0,0,2,0,98,0,0,2,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03719/report.txt
p03799,96,41,55,41,0,0,24,17,55,0,0,24,17,17,0,0.585366,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03799/report.txt
p03828,99,20,8,20,71,0,20,0,79,0,0,20,0,71,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03828/report.txt
p03849,100,0,0,0,100,0,0,0,100,0,0,0,0,74,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03849/report.txt
p03854,100,1,99,1,0,0,1,0,99,0,0,1,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03854/report.txt
p03951,98,0,1,0,97,0,0,0,98,0,0,0,0,8,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03951/report.txt
p04012,100,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04012/report.txt
p04043,100,16,84,16,0,0,7,9,84,0,0,7,9,9,0,0.4375,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p04043/report.txt
TOTAL,4917,553,2506,553,1757,101,393,154,4197,1,80,399,154,984,1,0.7215189873417721,
